name,userId,rec_1,rec_2,rec_3,rec_4,rec_5,rec_6,rec_7,rec_8,rec_9,rec_10,oldrank_1,oldrank_2,oldrank_3
Louise Jones,72,Shakespeare in Love (1998),North by Northwest (1959),Cape Fear (1991),Legends of the Fall (1994),Glory (1989),"Firm, The (1993)",Army of Darkness (1993),Go (1999),Sneakers (1992),Primal Fear (1996),"American President, The (1995)",Sense and Sensibility (1995),Get Shorty (1995)
Louise Jones,73,Mission: Impossible (1996),Broken Arrow (1996),Star Wars: Episode VI - Return of the Jedi (1983),Eraser (1996),Jerry Maguire (1996),Sense and Sensibility (1995),"Time to Kill, A (1996)",Sabrina (1995),"Nutty Professor, The (1996)",Ransom (1996),Heat (1995),Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Dead Man Walking (1995)
Louise Jones,74,"Silence of the Lambs, The (1991)",Braveheart (1995),Stargate (1994),"Lion King, The (1994)",Interview with the Vampire: The Vampire Chronicles (1994),Terminator 2: Judgment Day (1991),Speed (1994),"Net, The (1995)","Mask, The (1994)","Firm, The (1993)",Die Hard: With a Vengeance (1995),Dumb & Dumber (Dumb and Dumber) (1994),Aladdin (1992)
Louise Jones,75,When Harry Met Sally... (1989),Top Gun (1986),"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)","Wizard of Oz, The (1939)",Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Mission: Impossible (1996),Toy Story 2 (1999),Ghostbusters (a.k.a. Ghost Busters) (1984),Rocky (1976),"Shining, The (1980)",Toy Story (1995),"Shawshank Redemption, The (1994)",Blade Runner (1982)
Louise Jones,76,Spirited Away (Sen to Chihiro no kamikakushi) (2001),Memento (2000),American Beauty (1999),Shaun of the Dead (2004),Lost in Translation (2003),Princess Mononoke (Mononoke-hime) (1997),Juno (2007),"Clockwork Orange, A (1971)",High Fidelity (2000),My Neighbor Totoro (Tonari no Totoro) (1988),"Usual Suspects, The (1995)","Shawshank Redemption, The (1994)","Nightmare Before Christmas, The (1993)"
Louise Jones,77,True Lies (1994),Babe (1995),Jurassic Park (1993),Mrs. Doubtfire (1993),Die Hard: With a Vengeance (1995),Waterworld (1995),"Net, The (1995)",Crimson Tide (1995),Dumb & Dumber (Dumb and Dumber) (1994),Forrest Gump (1994),"Nightmare Before Christmas, The (1993)",Toy Story (1995),First Knight (1995)
Louise Jones,78,"Monsters, Inc. (2001)",Aladdin (1992),Pulp Fiction (1994),Toy Story (1995),Pirates of the Caribbean: The Curse of the Black Pearl (2003),Beauty and the Beast (1991),"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)",Love Actually (2003),(500) Days of Summer (2009),Titanic (1997),"Lion King, The (1994)",Trainspotting (1996),Mulan (1998)
Louise Jones,79,"Silence of the Lambs, The (1991)",Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Léon: The Professional (a.k.a. The Professional) (Léon) (1994),"Fugitive, The (1993)",Batman (1989),True Lies (1994),Reservoir Dogs (1992),Interview with the Vampire: The Vampire Chronicles (1994),Fargo (1996),Forrest Gump (1994),Seven (a.k.a. Se7en) (1995),"Usual Suspects, The (1995)",Amateur (1994)
Louise Jones,80,"Sixth Sense, The (1999)",L.A. Confidential (1997),"Mummy, The (1999)",Enemy of the State (1998),Eraser (1996),"Lock, Stock & Two Smoking Barrels (1998)",Deep Impact (1998),U-571 (2000),In the Line of Fire (1993),Grosse Pointe Blank (1997),Heat (1995),GoldenEye (1995),Casino (1995)
Louise Jones,81,Goodfellas (1990),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),Fight Club (1999),Saving Private Ryan (1998),Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Forrest Gump (1994),"Matrix, The (1999)",Casablanca (1942),American Beauty (1999),"Usual Suspects, The (1995)","Shawshank Redemption, The (1994)",Breaking the Waves (1996)
Louise Jones,82,Good Will Hunting (1997),"Sixth Sense, The (1999)",Lost in Translation (2003),"Green Mile, The (1999)",Howl's Moving Castle (Hauru no ugoku shiro) (2004),Up (2009),Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Shakespeare in Love (1998),Fight Club (1999),Million Dollar Baby (2004),Chinatown (1974),"Great Dictator, The (1940)","Road to El Dorado, The (2000)"
Louise Jones,83,"Hunt for Red October, The (1990)",Apollo 13 (1995),As Good as It Gets (1997),Contact (1997),"Few Good Men, A (1992)",Big (1988),"Untouchables, The (1987)","Firm, The (1993)",Good Will Hunting (1997),Airplane! (1980),"Christmas Story, A (1983)",Glory (1989),Roger & Me (1989)
Louise Jones,84,Django Unchained (2012),Apocalypse Now (1979),"Pan's Labyrinth (Laberinto del fauno, El) (2006)",Being John Malkovich (1999),City of God (Cidade de Deus) (2002),Donnie Darko (2001),Intouchables (2011),Howl's Moving Castle (Hauru no ugoku shiro) (2004),Trainspotting (1996),Inglourious Basterds (2009),"Godfather, The (1972)","Godfather: Part II, The (1974)",Eyes Wide Shut (1999)
Louise Jones,85,"Firm, The (1993)",Beauty and the Beast (1991),"Lion King, The (1994)",Philadelphia (1993),"Piano, The (1993)",Forrest Gump (1994),Quiz Show (1994),Legends of the Fall (1994),"Client, The (1994)",Interview with the Vampire: The Vampire Chronicles (1994),Sabrina (1995),Sense and Sensibility (1995),Bed of Roses (1996)
Louise Jones,86,Goodfellas (1990),Young Frankenstein (1974),Jaws (1975),One Flew Over the Cuckoo's Nest (1975),True Lies (1994),Indiana Jones and the Temple of Doom (1984),Butch Cassidy and the Sundance Kid (1969),Star Trek II: The Wrath of Khan (1982),Romancing the Stone (1984),L.A. Confidential (1997),Toy Story (1995),Hoop Dreams (1994),Star Wars: Episode IV - A New Hope (1977)
Louise Jones,87,Star Wars: Episode V - The Empire Strikes Back (1980),"Matrix, The (1999)",Star Wars: Episode IV - A New Hope (1977),Blade Runner (1982),Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),2001: A Space Odyssey (1968),Indiana Jones and the Last Crusade (1989),Die Hard (1988),"Fifth Element, The (1997)",Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Apollo 13 (1995),Clerks (1994),Terminator 2: Judgment Day (1991)
Louise Jones,88,"Matrix, The (1999)","Shawshank Redemption, The (1994)",Inception (2010),"Godfather, The (1972)",American Beauty (1999),Memento (2000),Star Wars: Episode V - The Empire Strikes Back (1980),Star Wars: Episode IV - A New Hope (1977),Saving Private Ryan (1998),Snatch (2000),Dante's Peak (1997),"American Tail, An (1986)",Fight Club (1999)
Louise Jones,89,Pretty Woman (1990),One Flew Over the Cuckoo's Nest (1975),Four Weddings and a Funeral (1994),Ghost (1990),"Terminator, The (1984)","Princess Bride, The (1987)",Shrek (2001),"Truman Show, The (1998)",To Kill a Mockingbird (1962),Speed (1994),Schindler's List (1993),Sleepless in Seattle (1993),"Godfather, The (1972)"
Louise Jones,90,Willy Wonka & the Chocolate Factory (1971),Fargo (1996),Jerry Maguire (1996),Dead Man Walking (1995),Eraser (1996),Star Trek: First Contact (1996),"Nutty Professor, The (1996)","Time to Kill, A (1996)",Executive Decision (1996),Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Toy Story (1995),Broken Arrow (1996),Star Wars: Episode IV - A New Hope (1977)
Louise Jones,91,Forrest Gump (1994),"Social Network, The (2010)",Django Unchained (2012),Slumdog Millionaire (2008),"Dark Knight Rises, The (2012)","Big Short, The (2015)","Pianist, The (2002)",Nightcrawler (2014),Catch Me If You Can (2002),"Pursuit of Happyness, The (2006)",Life Is Beautiful (La Vita è bella) (1997),"Sea Inside, The (Mar adentro) (2004)",Rise of the Planet of the Apes (2011)
Louise Jones,92,Saving Private Ryan (1998),Star Wars: Episode VI - Return of the Jedi (1983),"Bourne Identity, The (2002)","Princess Bride, The (1987)",Apollo 13 (1995),"Green Mile, The (1999)",Dead Poets Society (1989),Aliens (1986),Cast Away (2000),Ocean's Eleven (2001),"Usual Suspects, The (1995)",Braveheart (1995),Star Wars: Episode IV - A New Hope (1977)
Louise Jones,93,"Incredibles, The (2004)","Lion King, The (1994)",How to Train Your Dragon (2010),Love Actually (2003),Hot Fuzz (2007),Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001),Mulan (1998),"Truman Show, The (1998)",Tangled (2010),"Pan's Labyrinth (Laberinto del fauno, El) (2006)",Toy Story (1995),8 1/2 (8½) (1963),10 Things I Hate About You (1999)
Louise Jones,94,Braveheart (1995),Clear and Present Danger (1994),While You Were Sleeping (1995),Ace Ventura: Pet Detective (1994),Babe (1995),Seven (a.k.a. Se7en) (1995),"Usual Suspects, The (1995)",Philadelphia (1993),Dave (1993),In the Line of Fire (1993),"Birdcage, The (1996)",Dolores Claiborne (1995),Natural Born Killers (1994)
Louise Jones,95,"Matrix, The (1999)",Whiplash (2014),Inside Out (2015),Intouchables (2011),Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),The Martian (2015),Life Is Beautiful (La Vita è bella) (1997),Black Swan (2010),Inglourious Basterds (2009),"Dark Knight Rises, The (2012)",Toy Story (1995),Star Wars: Episode IV - A New Hope (1977),"Shawshank Redemption, The (1994)"
Louise Jones,96,Up (2009),"Avengers, The (2012)",Ratatouille (2007),Avatar (2009),"Monsters, Inc. (2001)",Sherlock Holmes (2009),Interstellar (2014),Harry Potter and the Deathly Hallows: Part 1 (2010),Inside Out (2015),Forrest Gump (1994),Toy Story (1995),Saving Private Ryan (1998),Spirited Away (Sen to Chihiro no kamikakushi) (2001)
Louise Jones,97,"Lord of the Rings: The Two Towers, The (2002)","Lord of the Rings: The Return of the King, The (2003)",Gladiator (2000),Speed (1994),Die Hard (1988),Pretty Woman (1990),Pirates of the Caribbean: The Curse of the Black Pearl (2003),"Matrix, The (1999)","Sixth Sense, The (1999)",Top Gun (1986),"Lord of the Rings: The Fellowship of the Ring, The (2001)",Minority Report (2002),X2: X-Men United (2003)
Louise Jones,98,"Lion King, The (1994)","Incredibles, The (2004)",Shrek (2001),(500) Days of Summer (2009),Mulan (1998),"Bug's Life, A (1998)",Easy A (2010),"Princess Bride, The (1987)","Truman Show, The (1998)",Mean Girls (2004),Toy Story (1995),Mary Poppins (1964),"Sound of Music, The (1965)"
Louise Jones,99,American Beauty (1999),"Usual Suspects, The (1995)",Inception (2010),Schindler's List (1993),Good Will Hunting (1997),2001: A Space Odyssey (1968),Goodfellas (1990),Reservoir Dogs (1992),Citizen Kane (1941),Rear Window (1954),"Shawshank Redemption, The (1994)",Forrest Gump (1994),One Flew Over the Cuckoo's Nest (1975)
Louise Jones,100,Toy Story (1995),Mr. Holland's Opus (1995),Willy Wonka & the Chocolate Factory (1971),Twister (1996),Phenomenon (1996),Star Trek: First Contact (1996),Broken Arrow (1996),"Time to Kill, A (1996)",Heat (1995),Sabrina (1995),Dead Man (1995),Stealing Beauty (1996),One Flew Over the Cuckoo's Nest (1975)
Louise Jones,101,"Silence of the Lambs, The (1991)",Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Schindler's List (1993),Catch Me If You Can (2002),WALL·E (2008),The Imitation Game (2014),"Wolf of Wall Street, The (2013)",Gone Girl (2014),Pirates of the Caribbean: The Curse of the Black Pearl (2003),American Beauty (1999),Seven (a.k.a. Se7en) (1995),"Shawshank Redemption, The (1994)",Life Is Beautiful (La Vita è bella) (1997)
Louise Jones,102,Dances with Wolves (1990),Forrest Gump (1994),Monty Python and the Holy Grail (1975),"Philadelphia Story, The (1940)","Graduate, The (1967)",Annie Hall (1977),Young Frankenstein (1974),Monty Python's Life of Brian (1979),"Sting, The (1973)",Singin' in the Rain (1952),Wallace & Gromit: The Best of Aardman Animation (1996),"American in Paris, An (1951)",Breakfast at Tiffany's (1961)
Louise Jones,103,"Shawshank Redemption, The (1994)",Seven (a.k.a. Se7en) (1995),"Usual Suspects, The (1995)",Outbreak (1995),Jurassic Park (1993),Natural Born Killers (1994),Ace Ventura: Pet Detective (1994),Terminator 2: Judgment Day (1991),Crimson Tide (1995),Star Trek: Generations (1994),Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Braveheart (1995),Apollo 13 (1995)
Louise Jones,104,"Silence of the Lambs, The (1991)",Braveheart (1995),"Terminator, The (1984)","Shawshank Redemption, The (1994)",Alien (1979),Blade Runner (1982),"Lord of the Rings: The Fellowship of the Ring, The (2001)","Fugitive, The (1993)","Godfather, The (1972)",Monty Python and the Holy Grail (1975),Apollo 13 (1995),Star Wars: Episode IV - A New Hope (1977),Pulp Fiction (1994)
Louise Jones,105,Independence Day (a.k.a. ID4) (1996),"Rock, The (1996)",Toy Story (1995),Twister (1996),Phenomenon (1996),Willy Wonka & the Chocolate Factory (1971),Jerry Maguire (1996),Executive Decision (1996),"Time to Kill, A (1996)","Nutty Professor, The (1996)","Birdcage, The (1996)",Father of the Bride Part II (1995),Heat (1995)
Louise Jones,106,"Usual Suspects, The (1995)","Silence of the Lambs, The (1991)","Fugitive, The (1993)",Dances with Wolves (1990),Braveheart (1995),Batman (1989),Schindler's List (1993),Clear and Present Danger (1994),Apollo 13 (1995),Crimson Tide (1995),Get Shorty (1995),Rob Roy (1995),Hoop Dreams (1994)
Louise Jones,107,Shakespeare in Love (1998),Requiem for a Dream (2000),Donnie Darko (2001),"Clockwork Orange, A (1971)",21 Grams (2003),"Silence of the Lambs, The (1991)","Royal Tenenbaums, The (2001)",Rain Man (1988),Rushmore (1998),"Piano, The (1993)",Whale Rider (2002),In America (2002),Garden State (2004)
Louise Jones,108,Forrest Gump (1994),WALL·E (2008),The Imitation Game (2014),Shutter Island (2010),Django Unchained (2012),"Silence of the Lambs, The (1991)","Prestige, The (2006)",Deadpool (2016),Pulp Fiction (1994),Avatar (2009),Interstellar (2014),"Shawshank Redemption, The (1994)",Fight Club (1999)
Louise Jones,109,Slumdog Millionaire (2008),Shrek (2001),Black Swan (2010),"Graduate, The (1967)",The Imitation Game (2014),Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Kill Bill: Vol. 2 (2004),"Fistful of Dollars, A (Per un pugno di dollari) (1964)",In Bruges (2008),Brazil (1985),Taxi Driver (1976),Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Pulp Fiction (1994)
Louise Jones,110,Schindler's List (1993),Pulp Fiction (1994),"Fugitive, The (1993)",American Beauty (1999),Star Wars: Episode V - The Empire Strikes Back (1980),Fargo (1996),Star Wars: Episode IV - A New Hope (1977),Monty Python and the Holy Grail (1975),Seven (a.k.a. Se7en) (1995),Fight Club (1999),"Usual Suspects, The (1995)",Three Colors: Red (Trois couleurs: Rouge) (1994),"Shawshank Redemption, The (1994)"
Louise Jones,111,Star Wars: Episode IV - A New Hope (1977),Star Wars: Episode V - The Empire Strikes Back (1980),Star Wars: Episode VI - Return of the Jedi (1983),"Shawshank Redemption, The (1994)",Saving Private Ryan (1998),Schindler's List (1993),Toy Story 2 (1999),X-Men (2000),"Dark Knight, The (2008)","Fugitive, The (1993)",Braveheart (1995),Terminator 2: Judgment Day (1991),Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)
Louise Jones,112,"Godfather: Part II, The (1974)",Leaving Las Vegas (1995),Apollo 13 (1995),Heat (1995),Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Saving Private Ryan (1998),Amadeus (1984),Monty Python's Life of Brian (1979),Batman (1989),Like Water for Chocolate (Como agua para chocolate) (1992),Schindler's List (1993),Blade Runner (1982)
Louise Jones,113,Ex Machina (2015),The Imitation Game (2014),"Prestige, The (2006)",Arrival (2016),Shutter Island (2010),"Dark Knight Rises, The (2012)","Dark Knight, The (2008)",No Country for Old Men (2007),"Matrix, The (1999)",American Beauty (1999),Fight Club (1999),Network (1976),"Departed, The (2006)"
Louise Jones,114,"Dark Knight, The (2008)",Forrest Gump (1994),Iron Man (2008),Ratatouille (2007),"Shawshank Redemption, The (1994)",Batman Begins (2005),Toy Story 3 (2010),"Usual Suspects, The (1995)","Avengers, The (2012)",Toy Story (1995),Pulp Fiction (1994),"Bourne Identity, The (2002)","Hitchhiker's Guide to the Galaxy, The (2005)"
Louise Jones,115,Saving Private Ryan (1998),"Shawshank Redemption, The (1994)",Star Wars: Episode VI - Return of the Jedi (1983),Jurassic Park (1993),"Matrix, The (1999)",Apollo 13 (1995),Full Metal Jacket (1987),"Godfather, The (1972)","Silence of the Lambs, The (1991)","Last of the Mohicans, The (1992)",Forrest Gump (1994),Schindler's List (1993),True Romance (1993)
Louise Jones,116,Star Wars: Episode VI - Return of the Jedi (1983),Back to the Future (1985),Blade Runner (1982),Indiana Jones and the Temple of Doom (1984),Total Recall (1990),Monty Python and the Holy Grail (1975),Rocky (1976),Star Wars: Episode I - The Phantom Menace (1999),"Abyss, The (1989)",E.T. the Extra-Terrestrial (1982),Braveheart (1995),Star Wars: Episode IV - A New Hope (1977),Terminator 2: Judgment Day (1991)
Louise Jones,117,Fight Club (1999),Pirates of the Caribbean: The Curse of the Black Pearl (2003),Forrest Gump (1994),Sleepless in Seattle (1993),Schindler's List (1993),"Lion King, The (1994)","Dark Knight, The (2008)",Eternal Sunshine of the Spotless Mind (2004),Four Weddings and a Funeral (1994),Shrek (2001),Sense and Sensibility (1995),Clueless (1995),While You Were Sleeping (1995)
Louise Jones,118,"Fugitive, The (1993)","Silence of the Lambs, The (1991)",Mrs. Doubtfire (1993),Speed (1994),Crimson Tide (1995),Cliffhanger (1993),GoldenEye (1995),Seven (a.k.a. Se7en) (1995),Ghost (1990),Addams Family Values (1993),"Endless Summer 2, The (1994)",Terminator 2: Judgment Day (1991),Twelve Monkeys (a.k.a. 12 Monkeys) (1995)
Louise Jones,119,Good Will Hunting (1997),Ocean's Eleven (2001),Forrest Gump (1994),Casino Royale (2006),Beauty and the Beast (1991),"Shawshank Redemption, The (1994)",Iron Man (2008),Dead Poets Society (1989),Avatar (2009),"Lion King, The (1994)",Apollo 13 (1995),"Sound of Music, The (1965)",Driving Miss Daisy (1989)
Louise Jones,120,Wallace & Gromit: The Wrong Trousers (1993),Wallace & Gromit: A Close Shave (1995),"Grand Day Out with Wallace and Gromit, A (1989)","Little Mermaid, The (1989)",Full Metal Jacket (1987),Stand by Me (1986),Taxi Driver (1976),"Truth About Cats & Dogs, The (1996)","Boot, Das (Boat, The) (1981)",Pleasantville (1998),Toy Story (1995),Babe (1995),Dead Man Walking (1995)
